!SIL 1.0	SIL
<UNK> 1.0	SPN
ANGER 1.0	AE NG G ER
CLENCHES 1.0	K L EH N CH AH Z
TRADED 1.0	T R EY D IH D
EAT 1.0	IY T
SHOT 1.0	SH AA T
FIXED 1.0	F IH K S T
SHOW 1.0	SH OW
IT'S 1.0	IH T S
RESCUED 1.0	R EH S K Y UW D
HOH 1.0	HH OW
HEIGHTS 1.0	HH AY T S
HOW 1.0	HH AW
HOT 1.0	HH AA T
POTENTIAL 1.0	P AH T EH N SH AH L
WAKE 1.0	W EY K
NEARLY 1.0	N IH R L IY
DRINKING 1.0	D R IH NG K IH NG
SHOOTING 1.0	SH UW T IH NG
RESCUES 1.0	R EH S K Y UW Z
SOAK 1.0	S OW K
INCREDIBLE 1.0	IH N K R EH D AH B AH L
WEST 1.0	W EH S T
STRETCHING 1.0	S T R EH CH IH NG
VALENTINE 1.0	V AE L AH N T AY N
GARAGE 1.0	G ER AA ZH
TOUR 1.0	T UH R
MOUTH 1.0	M AW TH
DECATUR 1.0	D IH K EY T ER
MELANCHOLY 1.0	M EH L AH N K AA L IY
UNOBTAINABLE 1.0	AH N AH B T EY N AH B AH L
CONVEYER 1.0	K AH N V EY ER
COCKING 1.0	K AA K IH NG
SIMPLE 1.0	S IH M P AH L
TEXT 1.0	T EH K S T
BARS 1.0	B AA R Z
ASKING 1.0	AE S K IH NG
LOOMING 1.0	L UW M IH NG
PROWLING 1.0	P R AW L IH NG
NOTCH 1.0	N AA CH
BEACH 1.0	B IY CH
HAPPEN 1.0	HH AE P AH N
LYING 1.0	L AY IH NG
UNAVAILABLE 1.0	AH N AH V EY L AH B AH L
ANYONE 1.0	EH N IY W AH N
GROUP 1.0	G R UW P
RINGING 1.0	R IH NG IH NG
CROWD 1.0	K R AW D
SHAME 1.0	SH EY M
STAKED 1.0	S T EY K T
BITES 1.0	B AY T S
CROWN 1.0	K R AW N
SEARCHING 1.0	S ER CH IH NG
ILLUSION 1.0	IH L UW ZH AH N
PRODUCTION 1.0	P R AH D AH K SH AH N
LASTS 1.0	L AE S T S
STAYS 1.0	S T EY Z
RIDING 1.0	R AY D IH NG
FEELIN' 1.0	F IY L IH N
CIRCUMSTANCES 1.0	S ER K AH M S T AE N S AH Z
WEEK 1.0	W IY K
SAYING 1.0	S EY IH NG
FULL 1.0	F UH L
FIT 1.0	F IH T
SOMEWHERE 1.0	S AH M W EH R
FIX 1.0	F IH K S
LABELS 1.0	L EY B AH L Z
ANYWAY 1.0	EH N IY W EY
LEAST 1.0	L IY S T
FEELINGS 1.0	F IY L IH NG Z
LEASH 1.0	L IY SH
ONES 1.0	W AH N Z
SAINT 1.0	S EY N T
FORGOTTEN 1.0	F ER G AA T AH N
HAPPIER 1.0	HH AE P IY ER
FEELING 1.0	F IY L IH NG
VROOM 1.0	V R UW M
SUPERSTAR 1.0	S UW P ER S T AA R
OBSCENE 1.0	AA B S IY N
WILL 1.0	W IH L
TAPE 1.0	T EY P
WILD 1.0	W AY L D
GLITTER 1.0	G L IH T ER
SINNER 1.0	S IH N ER
LAWYER 1.0	L AO Y ER
UNDIGNIFIED 1.0	AH N D IH G N IH F AY D
ADVICE 1.0	AE D V AY S
RINGS 1.0	R IH NG Z
PLASTIC 1.0	P L AE S T IH K
DESTROYED 1.0	D IH S T R OY D
PENNY 1.0	P EH N IY
HIDE 1.0	HH AY D
LEADERS 1.0	L IY D ER Z
PAINTED 1.0	P EY N T AH D
COMPANY 1.0	K AH M P AH N IY
EMOTIONS 1.0	IH M OW SH AH N Z
ANYWHERE 1.0	EH N IY W EH R
BLINDLY 1.0	B L AY N D L IY
MOANING 1.0	M OW N IH NG
POINTLESS 1.0	P OY N T L AH S
REVOLUTIONARY 1.0	R EH V AH L UW SH AH N EH R IY
FLAT 1.0	F L AE T
COURAGE 1.0	K ER AH JH
DOOR 1.0	D AO R
OUTLINE 1.0	AW T L AY N
THOUSAND 1.0	TH AW Z AH N D
DROWNS 1.0	D R AW N Z
FLAG 1.0	F L AE G
KIDS 1.0	K IH D Z
DISAPPOINT 1.0	D IH S AH P OY N T
FELLAS 1.0	F EH L AH S
COOL 1.0	K UW L
ME 1.0	M IY
WORLDS 1.0	W ER L D Z
MA 1.0	M AA
COURSE 1.0	K AO R S
BALLOONS 1.0	B AH L UW N Z
SIDED 1.0	S AY D AH D
NUMBNESS 1.0	N AH M N AH S
MUSIC 1.0	M Y UW Z IH K
PAPARAZZI 1.0	P AA P AA R AO Z IY
FILTER 1.0	F IH L T ER
QUO 1.0	K W OW
CREATED 1.0	K R IY EY T AH D
MY 1.0	M AY
INC 1.0	IH NG K
WINDMILL 1.0	W IH N D M IH L
DOO 1.0	D UW
READ 1.0	R EH D
HOLDS 1.0	HH OW L D Z
COMPOSING 1.0	K AH M P OW Z IH NG
DOG 1.0	D AO G
HURT 1.0	HH ER T
DREAMING 1.0	D R IY M IH NG
WASTED 1.0	W EY S T AH D
ANIMALS 1.0	AE N AH M AH L Z
REAP 1.0	R IY P
DOT 1.0	D AA T
SLIPPED 1.0	S L IH P T
SOILED 1.0	S OY L D
PEEL 1.0	P IY L
GIFT 1.0	G IH F T
SLEEK 1.0	S L IY K
BUSH 1.0	B UH SH
UPS 1.0	AH P S
TROPICAL 1.0	T R AA P IH K AH L
MOTH 1.0	M AO TH
RIM 1.0	R IH M
COULDN'T 1.0	K UH D AH N T
SETS 1.0	S EH T S
ORANGE 1.0	AO R AH N JH
AMERICA 1.0	AH M EH R AH K AH
BODIES 1.0	B AA D IY Z
MISREAD 1.0	M IH S R IY D
COMPANION 1.0	K AH M P AE N Y AH N
VINE 1.0	V AY N
NOTICE 1.0	N OW T AH S
AUTUMN 1.0	AO T AH M
SHITTY 1.0	SH IH T IY
SWINGING 1.0	S W IH NG IH NG
FORGOT 1.0	F ER G AA T
THROTTLE 1.0	TH R AA T AH L
UPPER 1.0	AH P ER
JOIN 1.0	JH OY N
INSPIRE 1.0	IH N S P AY R
SITTING 1.0	S IH T IH NG
PERSONAL 1.0	P ER S IH N IH L
PLEASE 1.0	P L IY Z
AMAZING 1.0	AH M EY Z IH NG
CHOOSE 1.0	CH UW Z
PUT 1.0	P UH T
ADVERTISE 1.0	AE D V ER T AY Z
HUNGER 1.0	HH AH NG G ER
MARBLE 1.0	M AA R B AH L
BAT 1.0	B AE T
BAR 1.0	B AA R
REACHING 1.0	R IY CH IH NG
SUDDENLY 1.0	S AH D AH N L IY
BAG 1.0	B AE G
BAD 1.0	B AE D
KICKS 1.0	K IH K S
SETTLED 1.0	S EH T AH L D
YOUR 1.0	Y AO R
LOTUS 1.0	L OW T AH S
BRAVE 1.0	B R EY V
TORTURE 1.0	T AO R CH ER
SUFFOCATING 1.0	S AH F AH K EY T IH NG
SHIVERING 1.0	SH IH V ER IH NG
FLOOR 1.0	F L AO R
RHYME 1.0	R AY M
TOGETHER 1.0	T AH G EH DH ER
CELL 1.0	S EH L
WOOD 1.0	W UH D
GREASY 1.0	G R IY S IY
PRISON 1.0	P R IH Z AH N
DADDIES 1.0	D AE D IY Z
MOUSE 1.0	M AW S
LOVING 1.0	L AH V IH NG
PAGEANT 1.0	P AE JH AH N T
DESIRE 1.0	D IH Z AY ER
DEVIL 1.0	D EH V AH L
HAPPENING 1.0	HH AE P AH N IH NG
PLAYED 1.0	P L EY D
ALMOST 1.0	AO L M OW S T
MARRIED 1.0	M EH R IY D
SOUTHERN 1.0	S AH DH ER N
AGAINST 1.0	AH G EH N S T
PLAYER 1.0	P L EY ER
FINALLY 1.0	F AY N AH L IY
LE 1.0	L AH
FLAME 1.0	F L EY M
GANG 1.0	G AE NG
KEITEL 1.0	K AY T AH L
WINNING 1.0	W IH N IH NG
RELINQUISH 1.0	R IH L IH NG K W IH SH
PAST 1.0	P AE S T
COMPARE 1.0	K AH M P EH R
ALREADY 1.0	AO L R EH D IY
BOARDS 1.0	B AO R D Z
DRUNK 1.0	D R AH NG K
TIRED 1.0	T AY ER D
COFFIN 1.0	K AO F IH N
THERE'S 1.0	DH EH R Z
SIMMER 1.0	S IH M ER
HANDS 1.0	HH AE N D Z
BOUT 1.0	B AW T
INTENSE 1.0	IH N T EH N S
SINNERS 1.0	S IH N ER Z
LIE 1.0	L AY
VERSION 1.0	V ER ZH AH N
SURROUNDED 1.0	S ER AW N D AH D
FOLDING 1.0	F OW L D IH NG
LESS 1.0	L EH S
ENTER 1.0	EH N T ER
MOTORS 1.0	M OW T ER Z
SPENT 1.0	S P EH N T
LIT 1.0	L IH T
RATED 1.0	R EY T AH D
DOORS 1.0	D AO R Z
KINDNESS 1.0	K AY N D N AH S
SPEND 1.0	S P EH N D
FILM 1.0	F IH L M
FILL 1.0	F IH L
SKATING 1.0	S K EY T IH NG
NAMED 1.0	N EY M D
MONKEY 1.0	M AH NG K IY
PRAYERS 1.0	P R EH R Z
HAIR'S 1.0	HH EH R Z
CANVAS 1.0	K AE N V AH S
TUESDAY 1.0	T UW Z D IY
PUNCH 1.0	P AH N CH
CLEARLY 1.0	K L IH R L IY
RA 1.0	R AA
FADE 1.0	F EY D
CAUSED 1.0	K AA Z D
CHAFE 1.0	CH EY F
FLOODING 1.0	F L AH D IH NG
FAMILY 1.0	F AE M AH L IY
DIRT 1.0	D ER T
FEARS 1.0	F IH R Z
ENERGY 1.0	EH N ER JH IY
KNOCKING 1.0	N AA K IH NG
BATHING 1.0	B EY DH IH NG
SWIM 1.0	S W IH M
MOSCATO 1.0	M OW S K AA T OW
SIXTY 1.0	S IH K S T IY
NIGHT 1.0	N AY T
SLEEPING 1.0	S L IY P IH NG
CAUSE 1.0	K AA Z
DOVES 1.0	D AH V Z
WISE 1.0	W AY Z
WISH 1.0	W IH SH
LAKE 1.0	L EY K
TRAIL 1.0	T R EY L
TRAIN 1.0	T R EY N
EITHER 1.0	IY DH ER
STOLE 1.0	S T OW L
BLEED 1.0	B L IY D
KICK 1.0	K IH K
ALTERCATION 1.0	AA L T ER K EY SH AH N
IGNITE 1.0	IH G N AY T
PARTED 1.0	P AA R T AH D
GATHER 1.0	G AE DH ER
CONSTANT 1.0	K AA N S T AH N T
ALCOHOL 1.0	AE L K AH HH AA L
COUNTRY 1.0	K AH N T R IY
SOMETIMES 1.0	S AH M T AY M Z
UNDERWEAR 1.0	AH N D ER W EH R
DISGUISE 1.0	D IH S G AY Z
DONE 1.0	D AH N
BURIED 1.0	B EH R IY D
SWING 1.0	S W IH NG
HANDLE 1.0	HH AE N D AH L
COLD 1.0	K OW L D
COLE 1.0	K OW L
NODDED 1.0	N AA D AH D
DEED 1.0	D IY D
COLA 1.0	K OW L AH
MADE 1.0	M EY D
MARCH 1.0	M AA R CH
LINING 1.0	L AY N IH NG
HUMMING 1.0	HH AH M IH NG
JESUS 1.0	JH IY Z AH S
EIGHT 1.0	EY T
FINGER 1.0	F IH NG G ER
BITING 1.0	B AY T IH NG
DARLING 1.0	D AA R L IH NG
DARKEST 1.0	D AA R K AH S T
REQUIRES 1.0	R IY K W AY ER Z
WIPED 1.0	W AY P T
TALLER 1.0	T AO L ER
END 1.0	EH N D
AROUND 1.0	ER AW N D
G 1.0	JH IY
BRIGHTEN 1.0	B R AY T AH N
STARED 1.0	S T EH R D
CONDITIONALLY 1.0	K AH N D IH SH AH N AH L IY
FLEW 1.0	F L UW
SONG'S 1.0	S AO NG Z
SENTENCED 1.0	S EH N T AH N S T
TABLES 1.0	T EY B AH L Z
RESCUING 1.0	R EH S K Y UW IH NG
LEAD 1.0	L EH D
ROMEO 1.0	R OW M IY OW
JEANS 1.0	JH IY N Z
DAYS 1.0	D EY Z
YET 1.0	Y EH T
SUP 1.0	S AH P
CAVING 1.0	K EY V IH NG
MOSQUITO 1.0	M AH S K IY T OW
TASTED 1.0	T EY S T AH D
APOLOGIZE 1.0	AH P AA L AH JH AY Z
SURELY 1.0	SH UH R L IY
DOMINATE 1.0	D AA M AH N EY T
SCREAMING 1.0	S K R IY M IH NG
DAMNED 1.0	D AE M D
DISTRACTION 1.0	D IH S T R AE K SH AH N
THUNDER 1.0	TH AH N D ER
SUSPICIONS 1.0	S AH S P IH SH AH N Z
STUDIO 1.0	S T UW D IY OW
LIFETIME 1.0	L AY F T AY M
SCREWS 1.0	S K R UW Z
LOADS 1.0	L OW D Z
HOPED 1.0	HH OW P T
INFIRMARY 1.0	IH N F ER M ER IY
ENJOY 1.0	EH N JH OY
SET 1.0	S EH T
FORESEE 1.0	F AO R S IY
THIGH 1.0	TH AY
HOUR 1.0	AW ER
RULE 1.0	R UW L
RUINED 1.0	R UW AH N D
PLANET 1.0	P L AE N AH T
BRAIN 1.0	B R EY N
SEE 1.0	S IY
LOOKS 1.0	L UH K S
SEA 1.0	S IY
PLANES 1.0	P L EY N Z
WORLD 1.0	W ER L D
APOCALYPSE 1.0	AH P AA K AH L IH P S
HIGHER 1.0	HH AY ER
YOU 1.0	Y UW
RAISED 1.0	R EY Z D
REVOLUTION 1.0	R EH V AH L UW SH AH N
EASY 1.0	IY Z IY
BLEEDING 1.0	B L IY D IH NG
CARS 1.0	K AA R Z
COMMOTION 1.0	K AH M OW SH AH N
SHORTY 1.0	SH AO R T IY
LOOKING 1.0	L UH K IH NG
HOPES 1.0	HH OW P S
DAYLIGHT 1.0	D EY L AY T
LETTER 1.0	L EH T ER
DAWN 1.0	D AO N
SMELL 1.0	S M EH L
CARD 1.0	K AA R D
CARE 1.0	K EH R
INTENTIONS 1.0	IH N T EH N CH AH N Z
HELD 1.0	HH EH L D
RISKING 1.0	R IH S K IH NG
LIST 1.0	L IH S T
ADMITTANCE 1.0	AH D M IH T AH N S
ELEVEN 1.0	IH L EH V AH N
BOTHER 1.0	B AA DH ER
WORRY 1.0	W ER IY
DO 1.0	D UW
YOUNGER 1.0	Y AH NG G ER
FLIGHT 1.0	F L AY T
MONDAY 1.0	M AH N D IY
DE 1.0	D IY
MOVES 1.0	M UW V Z
YELLOW 1.0	Y EH L OW
DA 1.0	D AA
TRIAL 1.0	T R AY AH L
OUTSIDE 1.0	AW T S AY D
CALIFORNIA 1.0	K AE L AH F AO R N Y AH
BAPTIZED 1.0	B AE P T AY Z D
BASIC 1.0	B EY S IH K
ALL'S 1.0	AO L Z
IRRELEVANT 1.0	IH R EH L AH V AH N T
BOTH 1.0	B OW TH
SOMEONE 1.0	S AH M W AH N
COASTER 1.0	K OW S T ER
SEEKING 1.0	S IY K IH NG
WE'VE 1.0	W IY V
QUESTION 1.0	K W EH S CH AH N
COLLIDED 1.0	K AH L AY D IH D
OOOH 1.0	UW
SMOKING 1.0	S M OW K IH NG
CREEPING 1.0	K R IY P IH NG
LIAR 1.0	L AY ER
BABIES 1.0	B EY B IY Z
HE'S 1.0	HH IY Z
SUCCESSFUL 1.0	S AH K S EH S F AH L
GOD 1.0	G AA D
INTO 1.0	IH N T UW
NEEDING 1.0	N IY D IH NG
QUIETLY 1.0	K W AY AH T L IY
TIMES 1.0	T AY M Z
HE'D 1.0	HH IY D
COPS 1.0	K AA P S
EXPECT 1.0	IH K S P EH K T
BIEBER 1.0	B IY B ER
TEETH 1.0	T IY TH
GOT 1.0	G AA T
COPY 1.0	K AA P IY
HEADLIGHTS 1.0	HH EH D L AY T S
CITY 1.0	S IH T IY
COMPLICATION 1.0	K AA M P L AH K EY SH AH N
VICE 1.0	V AY S
FRIENDS 1.0	F R EH N D Z
ADD 1.0	AE D
MINDING 1.0	M AY N D IH NG
ADULT 1.0	AH D AH L T
EXPLAIN 1.0	IH K S P L EY N
SPEAKING 1.0	S P IY K IH NG
BOUGHT 1.0	B AA T
Y'ALL 1.0	Y AO L
WE 1.0	W IY
BELLO 1.0	B EH L OW
WA 1.0	W AA
MIRE 1.0	M AY R
THOUGHT 1.0	TH AO T
STRUNG 1.0	S T R AH NG
WU 1.0	W UW
BARE 1.0	B EH R
RANGING 1.0	R EY N JH IH NG
SOUTH 1.0	S AW TH
FLASHING 1.0	F L AE SH IH NG
SPIRITUAL 1.0	S P IH R IH CH AH W AH L
BUSY 1.0	B IH Z IY
CRASH 1.0	K R AE SH
LIMITS 1.0	L IH M AH T S
SACRIFICED 1.0	S AE K R AH F AY S T
STARTS 1.0	S T AA R T S
FRAME 1.0	F R EY M
TEMPO 1.0	T EH M P OW
HOWEVER 1.0	HH AW EH V ER
RIP 1.0	R IH P
TRULY 1.0	T R UW L IY
THUMBING 1.0	TH AH M IH NG
REMAIN 1.0	R IH M EY N
BLOODLINES 1.0	B L AH D L AY N Z
TRACK'S 1.0	T R AE K S
PRETTY 1.0	P R IH T IY
ALLOWED 1.0	AH L AW D
MIC 1.0	M IH K
RISK 1.0	R IH S K
WEAKNESS 1.0	W IY K N AH S
RISE 1.0	R AY Z
HAD 1.0	HH AE D
DECORATION 1.0	D EH K ER EY SH AH N
REUNITE 1.0	R IY UW N AY T
TRACKS 1.0	T R AE K S
PASS 1.0	P AE S
HAS 1.0	HH AE Z
SILVER 1.0	S IH L V ER
GREATER 1.0	G R EY T ER
TOWN 1.0	T AW N
SCHOOL 1.0	S K UW L
WALRUS 1.0	W AO L R AH S
AFTER 1.0	AE F T ER
GOES 1.0	G OW Z
INTERNET 1.0	IH N T ER N EH T
BLOWING 1.0	B L OW IH NG
YES 1.0	Y EH S
CRAVING 1.0	K R EY V IH NG
HUSTLER 1.0	HH AH S AH L ER
LETTING 1.0	L EH T IH NG
GUESSING 1.0	G EH S IH NG
HELP 1.0	HH EH L P
DISBELIEF 1.0	D IH S B IH L IY F
PRIVATE 1.0	P R AY V AH T
THINKIN' 1.0	TH IH NG K IH N
MARRY 1.0	M EH R IY
WALLOW 1.0	W AA L OW
SOLUTION 1.0	S AH L UW SH AH N
FAMOUS 1.0	F EY M AH S
FERRARI 1.0	F ER AA R IY
BOARD 1.0	B AO R D
HELL 1.0	HH EH L
WASTE 1.0	W EY S T
BELT 1.0	B EH L T
DINNER 1.0	D IH N ER
LETDOWN 1.0	L EH T D AW N
ROOM 1.0	R UW M
ROOF 1.0	R UW F
BREED 1.0	B R IY D
RECORDS 1.0	R AH K AO R D Z
CARRY 1.0	K AE R IY
ADVISE 1.0	AE D V AY Z
STIR 1.0	S T ER
FRONTS 1.0	F R AH N T S
FOOL 1.0	F UW L
PROMISES 1.0	P R AA M AH S AH Z
DIVIDE 1.0	D IH V AY D
AHEAD 1.0	AH HH EH D
CLASS 1.0	K L AE S
LOOSEN 1.0	L UW S AH N
ECHO 1.0	EH K OW
AGED 1.0	EY JH D
FOE 1.0	F OW
PROMISED 1.0	P R AA M AH S T
DRIPPING 1.0	D R IH P IH NG
CARDS 1.0	K AA R D Z
STAIN 1.0	S T EY N
SAILS 1.0	S EY L Z
WHOLE 1.0	HH OW L
TODAY 1.0	T AH D EY
UNITED 1.0	Y UW N AY T AH D
CONTAGIOUS 1.0	K AH N T EY JH AH S
SOARS 1.0	S AO R Z
THINKING 1.0	TH IH NG K IH NG
S 1.0	EH S
SURFACE 1.0	S ER F AH S
BRA 1.0	B R AA
FASHIONED 1.0	F AE SH AH N D
JOY 1.0	JH OY
MEANEST 1.0	M IY N AH S T
WINE 1.0	W AY N
COP 1.0	K AA P
HARM 1.0	HH AA R M
OFFICIAL 1.0	AH F IH SH AH L
THESE 1.0	DH IY Z
FISH 1.0	F IH SH
HARD 1.0	HH AA R D
IDEAS 1.0	AY D IY AH Z
TAMBO 1.0	T AE M B OW
FOOT 1.0	F UH T
CHIN 1.0	CH IH N
FIST 1.0	F IH S T
SOLDIERS 1.0	S OW L JH ER Z
DROPS 1.0	D R AA P S
MAKES 1.0	M EY K S
MAKER 1.0	M EY K ER
CASE 1.0	K EY S
SINGER 1.0	S IH NG ER
CITIES 1.0	S IH T IY Z
WORSE 1.0	W ER S
ATTRACTS 1.0	AH T R AE K T S
REGISTER 1.0	R EH JH IH S T ER
ARTHUR 1.0	AA R TH ER
BETTER 1.0	B EH T ER
CAST 1.0	K AE S T
FOUGHT 1.0	F AO T
WORST 1.0	W ER S T
ATTRACTIVE 1.0	AH T R AE K T IH V
COCA 1.0	K OW K AH
RESEDA 1.0	R EH S EY D AH
BURNT 1.0	B ER N T
BLEEDS 1.0	B L IY D Z
WARFARE 1.0	W AO R F EH R
MISTREAT 1.0	M IH S T R IY T
COMMITMENT 1.0	K AH M IH T M AH N T
NUMBER 1.0	N AH M B ER
FIELD 1.0	F IY L D
SECOND 1.0	S EH K AH N D
STUFF 1.0	S T AH F
HOMELESS 1.0	HH OW M L AH S
FAIL 1.0	F EY L
ENDEAVOR 1.0	IH N D EH V ER
EVIDENCE 1.0	EH V AH D AH N S
WAS 1.0	W AA Z
GROW 1.0	G R OW
RUN 1.0	R AH N
RUM 1.0	R AH M
MELTS 1.0	M EH L T S
HIGHLIGHTS 1.0	HH AY L AY T S
JEALOUSY 1.0	JH EH L AH S IY
LUCKY 1.0	L AH K IY
OWNED 1.0	OW N D
CHECK 1.0	CH EH K
DEMONS 1.0	D IY M AH N Z
SMALLEST 1.0	S M AO L AH S T
FOCUSED 1.0	F OW K AH S T
JOO 1.0	JH UW
INDIFFERENCE 1.0	IH N D IH F ER AH N S
TELL 1.0	T EH L
FEED 1.0	F IY D
LONGING 1.0	L AO NG IH NG
FISTFUL 1.0	F IH S T F AH L
MISSING 1.0	M IH S IH NG
DID 1.0	D IH D
DIE 1.0	D AY
WHO'S 1.0	HH UW Z
GIRLS 1.0	G ER L Z
TOMBSTONES 1.0	T UW M S T OW N Z
CRIME 1.0	K R AY M
FEET 1.0	F IY T
RUBIN 1.0	R UW B IH N
QUIET 1.0	K W AY AH T
EXAMPLE 1.0	IH G Z AE M P AH L
GOWNS 1.0	G AW N Z
MENTALLY 1.0	M EH N T AH L IY
WONDER 1.0	W AH N D ER
CONTROL 1.0	K AH N T R OW L
NINES 1.0	N AY N Z
MEANS 1.0	M IY N Z
VIBE 1.0	V AY B
TRILLION 1.0	T R IH L Y AH N
WANTA 1.0	W AA N T AH
BATMAN 1.0	B AE T M AE N
HOURS 1.0	AW ER Z
ADORN 1.0	AH D AO R N
THROWS 1.0	TH R OW Z
MEAN 1.0	M IY N
RADIOACTIVE 1.0	R EY D IY OW AE K T IH V
HOPING 1.0	HH OW P IH NG
EXISTS 1.0	IH G Z IH S T S
I 1.0	AY
MAYBE 1.0	M EY B IY
IS 1.0	IH Z
COMPETING 1.0	K AH M P IY T IH NG
IT 1.0	IH T
CONFUSED 1.0	K AH N F Y UW Z D
STICKY 1.0	S T IH K IY
PARTNER 1.0	P AA R T N ER
SCULPTOR 1.0	S K AH L P T ER
IF 1.0	IH F
SHOES 1.0	SH UW Z
I'VE 1.0	AY V
BACKPACK 1.0	B AE K P AE K
PAGES 1.0	P EY JH AH Z
SWALLOWING 1.0	S W AA L OW IH NG
JAM 1.0	JH AE M
PROMISE 1.0	P R AA M AH S
WIND 1.0	W AY N D
MISHEARD 1.0	M IH S HH ER D
BOX 1.0	B AA K S
BOY 1.0	B OY
ROOFTOP 1.0	R UW F T AA P
UPSTAIRS 1.0	AH P S T EH R Z
THOUGH 1.0	DH OW
WORKS 1.0	W ER K S
OVER 1.0	OW V ER
WITHIN 1.0	W IH DH IH N
EIGHTY 1.0	EY T IY
BACK 1.0	B AE K
FRAMED 1.0	F R EY M D
SUBURBS 1.0	S AH B ER B Z
CHEST 1.0	CH EH S T
PART 1.0	P AA R T
TREAT 1.0	T R IY T
OBSESSED 1.0	AH B S EH S T
GIRL 1.0	G ER L
PLAYING 1.0	P L EY IH NG
BOARDING 1.0	B AO R D IH NG
HOVER 1.0	HH AH V ER
FROWN 1.0	F R AW N
TO 1.0	T UW
WALKED 1.0	W AO K T
COY 1.0	K OY
VENGEANCE 1.0	V EH N JH AH N S
BUDDHA 1.0	B UW D AH
HEALING 1.0	HH IY L IH NG
ASHAMED 1.0	AH SH EY M D
TONGUE 1.0	T AH NG
CITY'S 1.0	S IH T IY Z
MIRACLES 1.0	M IH R AH K AH L Z
MULTIPLIED 1.0	M AH L T AH P L AY D
SHOWN 1.0	SH OW N
NEIL 1.0	N IY L
SHIELD 1.0	SH IY L D
CLAIM 1.0	K L EY M
OPERA 1.0	AA P R AH
NERVOUS 1.0	N ER V AH S
SAFE 1.0	S EY F
DISCOVERED 1.0	D IH S K AH V ER D
CRYSTAL 1.0	K R IH S T AH L
GRAND 1.0	G R AE N D
PIANO 1.0	P IY AE N OW
COMES 1.0	K AH M Z
SHOWS 1.0	SH OW Z
NEIGHBORS 1.0	N EY B ER Z
REFEREE 1.0	R EH F ER IY
EXCUSE 1.0	IH K S K Y UW S
GLITTERS 1.0	G L IH T ER Z
FORDS 1.0	F AO R D Z
BONES 1.0	B OW N Z
RESPECT 1.0	R IH S P EH K T
ALTERNATIVE 1.0	AO L T ER N AH T IH V
GROOVE 1.0	G R UW V
FLY 1.0	F L AY
SUMMERS 1.0	S AH M ER Z
STONE 1.0	S T OW N
HECTIC 1.0	HH EH K T IH K
CARES 1.0	K EH R Z
FAULT 1.0	F AO L T
LIQUOR 1.0	L IH K ER
BURN 1.0	B ER N
FRENCH 1.0	F R EH N CH
MANIPULATIONS 1.0	M AH N IH P Y AH L EY SH AH N Z
STAND 1.0	S T AE N D
GORILLAS 1.0	G ER IH L AH Z
E 1.0	IY
FINE 1.0	F AY N
FIND 1.0	F AY N D
AFFECTION 1.0	AH F EH K SH AH N
BURGERS 1.0	B ER G ER Z
BREAKUPS 1.0	B R EY K AH P S
COLOR 1.0	K AH L ER
WHISPER 1.0	W IH S P ER
BLUSHING 1.0	B L AH SH IH NG
SPELL 1.0	S P EH L
SCATTERED 1.0	S K AE T ER D
VIOLINS 1.0	V AY AH L IH N Z
JAMAICA 1.0	JH AH M EY K AH
TROUBLE 1.0	T R AH B AH L
GETS 1.0	G EH T S
FILLED 1.0	F IH L D
FIGHT'S 1.0	F AY T Z
KINGDOM 1.0	K IH NG D AH M
EYES 1.0	AY Z
SHEET 1.0	SH IY T
SPIRITS 1.0	S P IH R IH T S
JUST 1.0	JH AH S T
WOULDN'T 1.0	W UH D AH N T
SLEPT 1.0	S L EH P T
WISDOM 1.0	W IH Z D AH M
TRY 1.0	T R AY
BOYS 1.0	B OY Z
BODY'S 1.0	B AA D IY Z
WHY'D 1.0	W AY D
MIST 1.0	M IH S T
MISS 1.0	M IH S
CHORD 1.0	K AO R D
WEAK 1.0	W IY K
STRIPES 1.0	S T R AY P S
TIME'S 1.0	T AY M Z
RELOAD 1.0	R IY L OW D
LAID 1.0	L EY D
ACHING 1.0	EY K IH NG
STRESSFUL 1.0	S T R EH S F AH L
UNDECIDED 1.0	AH N D IH S AY D IH D
CHECKING 1.0	CH EH K IH NG
SHOULD'VE 1.0	SH UH D AH V
SMITH 1.0	S M IH TH
CASH 1.0	K AE SH
NAKED 1.0	N EY K AH D
SPANISH 1.0	S P AE N IH SH
BRIGHT 1.0	B R AY T
MILES 1.0	M AY L Z
DUMB 1.0	D AH M
SATELLITES 1.0	S AE T AH L AY T S
TAKING 1.0	T EY K IH NG
OVERFLOW 1.0	OW V ER F L OW
MOJO 1.0	M OW JH OW
ISSUES 1.0	IH SH UW Z
TIGER 1.0	T AY G ER
QUARTER 1.0	K W AO R T ER
NO 1.0	N OW
NA 1.0	N AA
SWEETEST 1.0	S W IY T AH S T
RIDERS 1.0	R AY D ER Z
CONQUER 1.0	K AA NG K ER
BLEW 1.0	B L UW
RAINED 1.0	R EY N D
FADES 1.0	F EY D Z
DRAW 1.0	D R AO
SPOKEN 1.0	S P OW K AH N
RIVAL 1.0	R AY V AH L
J 1.0	JH EY
JEWEL 1.0	JH UW AH L
HURTING 1.0	HH ER T IH NG
STOPS 1.0	S T AA P S
PROUD 1.0	P R AW D
DRAG 1.0	D R AE G
FOOL'S 1.0	F UW L Z
GUITARS 1.0	G IH T AA R Z
FADED 1.0	F EY D AH D
